period,registration_type,brand,nameplate,model,trim_label,grade,drive,range_km,battery_kwh,powertrain_hint,segment,body_type,market_position,powertrain,brand_segment,units,raw_label
2026-01,RY1,Jaecoo,Jaecoo 6 EV,Jaecoo 6 EV,Long Range 2WD PRO,LONG RANGE,2WD,,,,B,CROSSOVER,VOLUME,BEV,MASS,531.0,JAECOO 6 EV Long Range 2WD PRO
2026-01,RY1,Aion,Aion Y Plus,Aion Y Plus,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,496.0,AION AION Y PLUS
2026-01,RY1,BYD,Sealion 7,Sealion 7,AWD,,AWD,,,,D,CROSSOVER,UPPER,BEV,MASS,449.0,BYD BYD SEALION 7 AWD
2026-01,RY1,Deepal,Deepal S07,Deepal S07,,,,,,,C,CROSSOVER,UPPER,BEV,MASS,448.0,DEEPAL S07
2026-01,RY1,BYD,Sealion 6 DM-i,Sealion 6 DM-i,PREMIUM,PREMIUM,,,,,C,CROSSOVER,VOLUME,PHEV,MASS,427.0,BYD BYD SEALION 6 DM-i PREMIUM
2026-01,RY1,MG,MG IM6,MG IM6,,,,,,,D,CROSSOVER,LUXURY,BEV,MASS,419.0,MG IM6
2026-01,RY1,Geely,Geely EX5,Geely EX5,,,,,,,C,CROSSOVER,VOLUME,BEV,MASS,414.0,GEELY EX5
2026-01,RY1,Jaecoo,Jaecoo 6 EV,Jaecoo 6 EV,Long Range 4WD,LONG RANGE,4WD,,,,B,CROSSOVER,VOLUME,BEV,MASS,402.0,JAECOO 6 EV Long Range 4WD
2026-01,RY1,Aion,Aion Y Plus,Aion Y Plus,490 PREMIUM,PREMIUM,,490.0,,,B,CROSSOVER,VOLUME,BEV,MASS,391.0,AION AION Y PLUS 490 PREMIUM
2026-01,RY1,Deepal,Deepal S05,Deepal S05,REEV MAX,MAX,,,,REEV,B,CROSSOVER,VOLUME,MIXED,MASS,320.0,DEEPAL S05 REEV MAX
2026-01,RY1,Denza,Denza D9,Denza D9,FWD,,FWD,,,,E,MPV,LUXURY,MIXED,PREMIUM_LUXURY,306.0,DENZA DENZA D9 FWD
2026-01,RY1,BYD,Seal,Seal,STD RWD,STD,RWD,,,,D,SEDAN,UPPER,BEV,MASS,294.0,BYD BYD SEAL STD RWD
2026-01,RY1,BYD,Seal,Seal,EXD RWD,,RWD,,,,D,SEDAN,UPPER,BEV,MASS,291.0,BYD BYD SEAL EXD RWD
2026-01,RY1,Wuling,Wuling Bingo,Wuling Bingo,SRDTH CCS2,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,289.0,WULING Bingou SRDTH CCS2
2026-01,RY1,BYD,BYD M6,BYD M6,EXTENDED,,,,,,C,MPV,VOLUME,BEV,MASS,281.0,BYD BYD M6 EXTENDED
2026-01,RY1,Chery,Chery V23,Chery V23,2WD PLAY,PLAY,2WD,,,,B,SUV,VOLUME,BEV,MASS,257.0,CHERY V23 2WD PLAY
2026-01,RY1,Changan,Changan Lumin,Changan Lumin,L DC,,,,,,A,HATCHBACK,ENTRY,BEV,MASS,240.0,CHANGAN LUMIN L DC
2026-01,RY1,Zeekr,Zeekr 009,Zeekr 009,,,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,223.0,ZEEKR ZEEKR 009
2026-01,RY1,Aion,Aion ES,Aion ES,,,,,,,C,SEDAN,VOLUME,BEV,MASS,221.0,AION AION ES
2026-01,RY1,Zeekr,Zeekr X,Zeekr X,7X,,,,,,B,CROSSOVER,UPPER,BEV,PREMIUM_TECH,221.0,ZEEKR ZEEKR 7X
2026-01,RY1,Jaecoo,Jaecoo 7,Jaecoo 7,Max,MAX,,,,,C,CROSSOVER,UPPER,PHEV,MASS,213.0,JAECOO 7 SHS Max
2026-01,RY1,BYD,Seal,Seal,5 DM-i PREMIUM,PREMIUM,,,,PHEV,D,SEDAN,UPPER,BEV,MASS,168.0,BYD BYD SEAL 5 DM-i PREMIUM
2026-01,RY1,MG,MG EP,MG EP,,,,,,,B,WAGON,VOLUME,BEV,MASS,135.0,MG EP
2026-01,RY1,MG,MG3,MG3,,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,135.0,MG MG3
2026-01,RY1,Jaecoo,Jaecoo 6 EV,Jaecoo 6 EV,Long Range 2WD,LONG RANGE,2WD,,,,B,CROSSOVER,VOLUME,BEV,MASS,127.0,JAECOO 6 EV Long Range 2WD
2026-01,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,127.0,MG MG5
2026-01,RY1,Chery,Omoda C5,Omoda C5,EV Long Range Max,LONG RANGE MAX,,,,BEV,B,CROSSOVER,VOLUME,BEV,MASS,126.0,OMODA C5 EV Long Range Max
2026-01,RY1,BYD,Sealion 6 DM-i,Sealion 6 DM-i,DYNAMIC,DYNAMIC,,,,,C,CROSSOVER,VOLUME,PHEV,MASS,125.0,BYD BYD SEALION 6 DM-i DYNAMIC
2026-01,RY1,GWM,Tank 500,Tank 500,,,,,,,E,PPV,LUXURY,HEV,MASS,124.0,GWM GWM TANK 500
2026-01,RY1,GWM,Haval H6,Haval H6,PLUG-IN HYBRID,,,,,PHEV,C,CROSSOVER,UPPER,MIXED,MASS,120.0,HAVAL H6 PLUG-IN HYBRID
2026-01,RY1,MG,MG ZS EV,MG ZS EV,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,115.0,MG ZS EV
2026-01,RY1,XPeng,XPeng X9,XPeng X9,LONG RANGE EXECUTIVE,LONG RANGE,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,113.0,XPENG X9 LONG RANGE(EXECUTIVE)
2026-01,RY1,XPeng,XPeng G6,XPeng G6,RWD Long Range,LONG RANGE,RWD,,,,D,CROSSOVER,UPPER,BEV,PREMIUM_TECH,112.0,XPENG G6 RWD Long Range
2026-01,RY1,MG,MG Maxus 7,MG Maxus 7,,,,,,,D,MPV,UPPER,ICE,MASS,108.0,MG MAXUS 7
2026-01,RY1,Jaecoo,Jaecoo 6T EV,Jaecoo 6T EV,Long Range 4WD,LONG RANGE,4WD,,,,C,CROSSOVER,UPPER,BEV,MASS,100.0,JAECOO 6T EV Long Range 4WD
2026-01,RY1,Tesla,Model 3,Model 3,Long Range RWD,LONG RANGE,RWD,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,98.0,TESLA Model 3 Long Range RWD
2026-01,RY1,Deepal,Deepal S05,Deepal S05,PLUS,PLUS,,,,,B,CROSSOVER,VOLUME,MIXED,MASS,92.0,DEEPAL S05 PLUS
2026-01,RY1,Deepal,Deepal L07,Deepal L07,,,,,,,D,SEDAN,UPPER,BEV,MASS,87.0,DEEPAL L07
2026-01,RY1,Deepal,Deepal L07,Deepal L07,S,,,,,,D,SEDAN,UPPER,BEV,MASS,80.0,DEEPAL L07 S
2026-01,RY1,Wuling,Wuling Bingo,Wuling Bingo,SRDTH,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,78.0,WULING Binguo SRDTH
2026-01,RY1,XPeng,XPeng G6,XPeng G6,RWD Standard Range,STANDARD RANGE,RWD,,,,D,CROSSOVER,UPPER,BEV,PREMIUM_TECH,77.0,XPENG G6 RWD Standard Range
2026-01,RY1,MG,MG Maxus 9,MG Maxus 9,,,,,,,E,MPV,LUXURY,BEV,MASS,68.0,MG MAXUS 9
2026-01,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,64.0,NETA NETA V-II
2026-01,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,57.0,MG VS HEV
2026-01,RY1,Chery,Omoda C5,Omoda C5,EV Long Range Dynamic,LONG RANGE,,,,BEV,B,CROSSOVER,VOLUME,BEV,MASS,56.0,OMODA C5 EV Long Range Dynamic
2026-01,RY1,Tesla,Model Y,Model Y,Rear-Wheel Drive,,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,52.0,TESLA Model Y Rear-Wheel Drive
2026-01,RY1,GWM,Haval Jolion,Haval Jolion,HYBRID,,,,,HEV,B,CROSSOVER,VOLUME,HEV,MASS,51.0,HAVAL JOLION HYBRID
2026-01,RY1,GAC,GAC M8,GAC M8,PHEV PREMIUM,PREMIUM,,,,PHEV,E,MPV,LUXURY,PHEV,MASS,50.0,GAC M8 PHEV PREMIUM
2026-01,RY1,Avatr,Avatr 11,Avatr 11,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,LUXURY,BEV,PREMIUM_TECH,42.0,AVATR AVATR 11 LONG RANGE
2026-01,RY1,BYD,Seal,Seal,EXD AWD,,AWD,,,,D,SEDAN,UPPER,BEV,MASS,40.0,BYD BYD SEAL EXD AWD
2026-01,RY1,BYD,BYD M6,BYD M6,DYNAMIC,DYNAMIC,,,,,C,MPV,VOLUME,BEV,MASS,38.0,BYD BYD M6 DYNAMIC
2026-01,RY1,Leapmotor,Leapmotor B10,Leapmotor B10,Design BEV,,,,,BEV,B,CROSSOVER,VOLUME,BEV,MASS,38.0,LEAPMOTOR B10 Design BEV
2026-01,RY1,GWM,Ora Good Cat,Ora Good Cat,07,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,31.0,ORA ORA 07
2026-01,RY1,Denza,Denza D9,Denza D9,AWD,,AWD,,,,E,MPV,LUXURY,MIXED,PREMIUM_LUXURY,30.0,DENZA DENZA D9 AWD
2026-01,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,30.0,MG ZS
2026-01,RY1,XPeng,XPeng X9,XPeng X9,LONG RANGE LUXURY,LONG RANGE,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,29.0,XPENG X9 LONG RANGE(LUXURY)
2026-01,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,27.0,GWM TANK 300 HYBRID
2026-01,RY1,Chery,Omoda C5,Omoda C5,EV Long Range Ultimate,LONG RANGE,,,,BEV,B,CROSSOVER,VOLUME,BEV,MASS,26.0,OMODA C5 EV Long Range Ultimate
2026-01,RY1,GWM,Haval H6,Haval H6,HYBRID,,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,25.0,HAVAL H6 HYBRID
2026-01,RY1,Riddara,RD6,Riddara RD6 Double Cab,PRO 2WD,PRO,2WD,,,,F,PICKUP,UPPER,BEV,MASS,25.0,RIDDARA RD6 PRO 2WD
2026-01,RY1,XPeng,XPeng G6,XPeng G6,AWD Performance,PERFORMANCE,AWD,,,,D,CROSSOVER,UPPER,BEV,PREMIUM_TECH,25.0,XPENG G6 AWD Performance
2026-01,RY1,BYD,BYD M6,BYD M6,,,,,,,C,MPV,VOLUME,BEV,MASS,24.0,BYD E6
2026-01,RY1,Zeekr,Zeekr X,Zeekr X,,,,,,,B,CROSSOVER,UPPER,BEV,PREMIUM_TECH,24.0,ZEEKR ZEEKR X
2026-01,RY1,Wuling,Wuling Air EV,Wuling Air EV,LR,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,23.0,WULING Air EV LR
2026-01,RY1,XPeng,XPeng G6,XPeng G6,STANDARD RANGE,STANDARD RANGE,,,,,D,CROSSOVER,UPPER,BEV,PREMIUM_TECH,20.0,XPENG G6 STANDARD RANGE
2026-01,RY1,MG,MG ES,MG ES,,,,,,,C,CROSSOVER,VOLUME,BEV,MASS,19.0,MG ES
2026-01,RY1,XPeng,XPeng X9,XPeng X9,LONG RANGE,LONG RANGE,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,19.0,XPENG X9 LONG RANGE
2026-01,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,18.0,MG HS PHEV
2026-01,RY1,MG,MG Extender,MG Extender Double Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,18.0,MG MG EXTENDER
2026-01,RY3,BYD,BYD T3,BYD T3,,,,,,,UNKNOWN,VAN,VOLUME,BEV,MASS,18.0,BYD T3
2026-01,RY1,Jaecoo,Jaecoo 5 EV,Jaecoo 5 EV,Long Range Dynamic,LONG RANGE,,,,,B,CROSSOVER,VOLUME,BEV,MASS,17.0,JAECOO 5 EV Long Range Dynamic
2026-01,RY1,Aion,Hyptec HT,Hyptec HT,620 LUXURY,LUXURY,,620.0,,,D,CROSSOVER,UPPER,BEV,MASS,16.0,AION HYPTEC HT 620 LUXURY
2026-01,RY1,Riddara,Horizon,Riddara Horizon Double Cab,PRO 4WD,PRO,4WD,,,,F,PICKUP,UPPER,BEV,MASS,16.0,RIDDARA HORIZON PRO 4WD
2026-01,RY1,Leapmotor,Leapmotor C10,Leapmotor C10,EV,,,,,BEV,C,CROSSOVER,UPPER,BEV,MASS,15.0,LEAPMOTOR C10 EV
2026-01,RY1,Tesla,Model Y,Model Y,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,15.0,TESLA MODEL Y LONG RANGE
2026-01,RY1,Tesla,Model 3,Model 3,Performance,PERFORMANCE,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,13.0,TESLA Model 3 Performance
2026-01,RY1,Aion,Aion V,Aion V,505 PREMIUM,PREMIUM,,505.0,,,C,CROSSOVER,UPPER,BEV,MASS,12.0,AION AION V 505 PREMIUM
2026-01,RY1,XPeng,XPeng G6,XPeng G6,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,UPPER,BEV,PREMIUM_TECH,11.0,XPENG G6 LONG RANGE
2026-01,RY3,MG,MG Extender,MG Extender Giant Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,11.0,MG MG EXTENDER
2026-01,RY1,Wuling,Wuling Bingo,Wuling Bingo,SRD,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,10.0,WULING Binguo SRD
2026-01,RY1,Deepal,Deepal E07,Deepal E07,PLUS,PLUS,,,,,D,SUV,LUXURY,BEV,MASS,9.0,DEEPAL E07 PLUS
2026-01,RY1,Deepal,Deepal E07,Deepal E07,PERFORMANCE AWD,PERFORMANCE,AWD,,,,D,SUV,LUXURY,BEV,MASS,8.0,DEEPAL E07 PERFORMANCE AWD
2026-01,RY1,GWM,Tank 500,Tank 500,,,,,,,E,PPV,LUXURY,HEV,MASS,7.0,GWM TANK 500 HYBRID
2026-01,RY1,GWM,Haval H6,Haval H6,HEV ULTRA,ULTRA,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,7.0,HAVAL H6 HEV ULTRA
2026-01,RY1,MG,MG Cyberster,MG Cyberster,,,,,,,D,COUPE,LUXURY,BEV,MASS,7.0,MG CYBERSTER
2026-01,RY1,XPeng,XPeng X9,XPeng X9,STANDARD RANGE,STANDARD RANGE,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,7.0,XPENG X9 STANDARD RANGE
2026-01,RY1,Riddara,Horizon,Riddara Horizon Double Cab,4WD,,4WD,,,,F,PICKUP,UPPER,BEV,MASS,6.0,RIDDARA HORIZON 4WD
2026-01,RY1,Avatr,Avatr 11,Avatr 11,STANDARD RANGE,STANDARD RANGE,,,,,D,CROSSOVER,LUXURY,BEV,PREMIUM_TECH,5.0,AVATR AVATR 11 STANDARD RANGE
2026-01,RY1,Deepal,Deepal Hunter K50,Deepal Hunter K50,,,,,,,F,PICKUP,UPPER,PHEV,MASS,5.0,DEEPAL HUNTER K50
2026-01,RY1,Riddara,RD6,Riddara RD6 Double Cab,86KWH 2WD,,2WD,,86.0,,F,PICKUP,UPPER,BEV,MASS,4.0,RIDDARA RD6 86KWH 2WD
2026-01,RY1,BYD,Sealion 6 DM-i,Sealion 6 DM-i,,,,,,,C,CROSSOVER,VOLUME,PHEV,MASS,3.0,BYD BYD SEALION 6
2026-01,RY1,Riddara,RD6,Riddara RD6 Double Cab,ECON,,,,,,F,PICKUP,UPPER,BEV,MASS,3.0,RIDDARA RD6 ECON
2026-01,RY1,Tesla,Model 3,Model 3,Rear-Wheel Drive,,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,3.0,TESLA Model 3 Rear-Wheel Drive
2026-01,RY1,Wuling,Wuling Air EV,Wuling Air EV,SR,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,3.0,WULING Air EV SR
2026-01,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,2.0,BYD BYD ATTO 3
2026-01,RY1,MG,MG HS,MG HS,,,,,,,C,CROSSOVER,MIXED,MIXED,MASS,2.0,MG HS
2026-01,RY1,Riddara,RD6,Riddara RD6 Double Cab,2WD,,2WD,,,,F,PICKUP,UPPER,BEV,MASS,2.0,RIDDARA RD6 2WD
2026-01,RY1,BYD,Atto 3,Atto 3,410KM-DYNAMIC,DYNAMIC,,410.0,,,B,CROSSOVER,VOLUME,BEV,MASS,1.0,BYD BYD ATTO3 (410KM-DYNAMIC)
2026-01,RY1,BYD,Dolphin,Dolphin,EXD,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,1.0,BYD BYD DOLPHIN EXD
2026-01,RY1,GWM,Haval H6,Haval H6,HEV PRO,PRO,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,1.0,HAVAL H6 HEV PRO
2026-01,RY1,MG,MG3,MG3,NEW,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,1.0,MG NEW MG3
2026-01,RY1,Tesla,Model 3,Model 3,LONG RANGE,LONG RANGE,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,1.0,TESLA MODEL 3 LONG RANGE
