เดือน,ยี่ห้อ,แบบรถ,รุ่นย่อย,ประเภท,จำนวน
2025-02,Aion,Aion ES,Standard,RY1,212
2025-03,Aion,Aion ES,,RY1,256
2025-04,Aion,Aion ES,,RY1,232
2025-05,Aion,Aion ES,,RY1,378
2025-06,Aion,Aion ES,Standard,RY1,373
2025-07,Aion,Aion ES,,RY1,377
2025-08,Aion,Aion ES,,RY1,328
2025-09,Aion,Aion ES,,RY1,309
2025-10,Aion,Aion ES,,RY1,373
2025-11,Aion,Aion ES,,RY1,351
2025-12,Aion,Aion ES,,RY1,380
2025-01,Aion,Aion V,Luxury,RY1,253
2025-02,Aion,Aion V,,RY1,271
2025-03,Aion,Aion V,,RY1,322
2025-04,Aion,Aion V,,RY1,238
2025-05,Aion,Aion V,,RY1,423
2025-06,Aion,Aion V,,RY1,328
2025-07,Aion,Aion V,,RY1,346
2025-08,Aion,Aion V,,RY1,416
2025-09,Aion,Aion V,,RY1,78
2025-10,Aion,Aion V,,RY1,319
2025-11,Aion,Aion V,Luxury,RY1,341
2025-12,Aion,Aion V,,RY1,365
2023-01,Audi,Q3,,RY1,315
2023-02,Audi,Q3,,RY1,218
2023-03,Audi,Q3,,RY1,270
2023-04,Audi,Q3,,RY1,164
2023-05,Audi,Q3,35 TFSI S line,RY1,206
2023-06,Audi,Q3,35 TFSI S line,RY1,192
2023-07,Audi,Q3,,RY1,143
2023-08,Audi,Q3,,RY1,239
2023-09,Audi,Q3,,RY1,205
2023-10,Audi,Q3,,RY1,345
2023-11,Audi,Q3,,RY1,259
2023-12,Audi,Q3,35 TFSI S line,RY1,164
2024-01,Audi,Q3,35 TFSI S line,RY1,149
2024-02,Audi,Q3,,RY1,186
2024-03,Audi,Q3,35 TFSI S line,RY1,156
2024-04,Audi,Q3,35 TFSI S line,RY1,243
2024-05,Audi,Q3,35 TFSI S line,RY1,152
2024-06,Audi,Q3,35 TFSI S line,RY1,148
2024-07,Audi,Q3,,RY1,184
2024-08,Audi,Q3,35 TFSI S line,RY1,134
2024-09,Audi,Q3,35 TFSI S line,RY1,245
2024-10,Audi,Q3,,RY1,170
2024-11,Audi,Q3,35 TFSI S line,RY1,235
2024-12,Audi,Q3,,RY1,154
2025-01,Audi,Q3,35 TFSI S line,RY1,169
2025-02,Audi,Q3,,RY1,115
2025-03,Audi,Q3,,RY1,339
2025-04,Audi,Q3,,RY1,192
2025-05,Audi,Q3,,RY1,160
2025-06,Audi,Q3,,RY1,208
2025-07,Audi,Q3,35 TFSI S line,RY1,121
2025-08,Audi,Q3,35 TFSI S line,RY1,187
2025-09,Audi,Q3,,RY1,113
2025-10,Audi,Q3,35 TFSI S line,RY1,163
2025-11,Audi,Q3,,RY1,113
2025-12,Audi,Q3,,RY1,140
2023-01,Audi,Q5,,RY1,99
2023-02,Audi,Q5,,RY1,108
2023-03,Audi,Q5,,RY1,82
2023-04,Audi,Q5,45 TFSI quattro S line,RY1,57
2023-05,Audi,Q5,,RY1,115
2023-06,Audi,Q5,45 TFSI quattro S line,RY1,97
2023-07,Audi,Q5,,RY1,92
2023-08,Audi,Q5,,RY1,114
2023-09,Audi,Q5,,RY1,108
2023-10,Audi,Q5,45 TFSI quattro S line,RY1,79
2023-11,Audi,Q5,,RY1,104
2023-12,Audi,Q5,,RY1,128
2024-01,Audi,Q5,,RY1,91
2024-02,Audi,Q5,,RY1,109
2024-03,Audi,Q5,45 TFSI quattro S line,RY1,145
2024-04,Audi,Q5,,RY1,115
2024-05,Audi,Q5,45 TFSI quattro S line,RY1,151
2024-06,Audi,Q5,,RY1,124
2024-07,Audi,Q5,45 TFSI quattro S line,RY1,117
2024-08,Audi,Q5,,RY1,90
2024-09,Audi,Q5,45 TFSI quattro S line,RY1,140
2024-10,Audi,Q5,45 TFSI quattro S line,RY1,98
2024-11,Audi,Q5,,RY1,149
2024-12,Audi,Q5,,RY1,94
2025-01,Audi,Q5,,RY1,153
2025-02,Audi,Q5,,RY1,138
2025-03,Audi,Q5,45 TFSI quattro S line,RY1,168
2025-04,Audi,Q5,,RY1,131
2025-05,Audi,Q5,45 TFSI quattro S line,RY1,171
2025-06,Audi,Q5,45 TFSI quattro S line,RY1,177
2025-07,Audi,Q5,45 TFSI quattro S line,RY1,163
2025-08,Audi,Q5,45 TFSI quattro S line,RY1,219
2025-09,Audi,Q5,45 TFSI quattro S line,RY1,132
2025-10,Audi,Q5,45 TFSI quattro S line,RY1,145
2025-11,Audi,Q5,45 TFSI quattro S line,RY1,196
2025-12,Audi,Q5,45 TFSI quattro S line,RY1,167
2023-01,BMW,3 Series,,RY1,70
2023-02,BMW,3 Series,,RY1,68
2023-03,BMW,3 Series,,RY1,75
2023-04,BMW,3 Series,330e M Sport,RY1,76
2023-05,BMW,3 Series,,RY1,89
2023-06,BMW,3 Series,,RY1,75
2023-07,BMW,3 Series,,RY1,48
2023-08,BMW,3 Series,,RY1,148
2023-09,BMW,3 Series,330e M Sport,RY1,98
2023-10,BMW,3 Series,,RY1,81
2023-11,BMW,3 Series,,RY1,72
2023-12,BMW,3 Series,,RY1,95
2024-01,BMW,3 Series,,RY1,137
2024-02,BMW,3 Series,,RY1,75
2024-03,BMW,3 Series,330e M Sport,RY1,69
2024-04,BMW,3 Series,,RY1,134
2024-05,BMW,3 Series,,RY1,109
2024-06,BMW,3 Series,,RY1,120
2024-07,BMW,3 Series,,RY1,99
2024-08,BMW,3 Series,,RY1,97
2024-09,BMW,3 Series,330e M Sport,RY1,106
2024-10,BMW,3 Series,330e M Sport,RY1,73
2024-11,BMW,3 Series,,RY1,107
2024-12,BMW,3 Series,,RY1,83
2025-01,BMW,3 Series,330e M Sport,RY1,135
2025-02,BMW,3 Series,330e M Sport,RY1,100
2025-03,BMW,3 Series,330e M Sport,RY1,84
2025-04,BMW,3 Series,330e M Sport,RY1,79
2025-05,BMW,3 Series,,RY1,89
2025-06,BMW,3 Series,,RY1,117
2025-07,BMW,3 Series,,RY1,163
2025-08,BMW,3 Series,,RY1,74
2025-09,BMW,3 Series,,RY1,129
2025-10,BMW,3 Series,330e M Sport,RY1,69
2025-11,BMW,3 Series,,RY1,85
2025-12,BMW,3 Series,,RY1,135
2024-01,BMW,5 Series,530e M Sport,RY1,20
2024-02,BMW,5 Series,,RY1,36
2024-03,BMW,5 Series,,RY1,50
2024-04,BMW,5 Series,530e M Sport,RY1,13
2024-05,BMW,5 Series,530e M Sport,RY1,48
2024-06,BMW,5 Series,,RY1,26
2024-07,BMW,5 Series,530e M Sport,RY1,31
2024-08,BMW,5 Series,,RY1,20
2024-09,BMW,5 Series,530e M Sport,RY1,39
2024-10,BMW,5 Series,530e M Sport,RY1,26
2024-11,BMW,5 Series,530e M Sport,RY1,29
2024-12,BMW,5 Series,,RY1,27
2025-01,BMW,5 Series,,RY1,30
2025-02,BMW,5 Series,530e M Sport,RY1,43
2025-03,BMW,5 Series,,RY1,31
2025-04,BMW,5 Series,530e M Sport,RY1,30
2025-05,BMW,5 Series,,RY1,30
2025-06,BMW,5 Series,530e M Sport,RY1,40
2025-07,BMW,5 Series,,RY1,38
2025-08,BMW,5 Series,530e M Sport,RY1,39
2025-09,BMW,5 Series,,RY1,17
2025-10,BMW,5 Series,530e M Sport,RY1,42
2025-11,BMW,5 Series,530e M Sport,RY1,28
2025-12,BMW,5 Series,,RY1,41
2023-01,BMW,X1,sDrive18i xLine,RY1,227
2023-02,BMW,X1,sDrive18i xLine,RY1,155
2023-03,BMW,X1,,RY1,299
2023-04,BMW,X1,sDrive18i xLine,RY1,263
2023-05,BMW,X1,,RY1,202
2023-06,BMW,X1,sDrive18i xLine,RY1,203
2023-07,BMW,X1,,RY1,168
2023-08,BMW,X1,,RY1,297
2023-09,BMW,X1,,RY1,209
2023-10,BMW,X1,,RY1,209
2023-11,BMW,X1,,RY1,99
2023-12,BMW,X1,sDrive18i xLine,RY1,196
2024-01,BMW,X1,sDrive18i xLine,RY1,175
2024-02,BMW,X1,sDrive18i xLine,RY1,260
2024-03,BMW,X1,sDrive18i xLine,RY1,156
2024-04,BMW,X1,,RY1,155
2024-05,BMW,X1,,RY1,73
2024-06,BMW,X1,,RY1,205
2024-07,BMW,X1,sDrive18i xLine,RY1,196
2024-08,BMW,X1,,RY1,141
2024-09,BMW,X1,,RY1,168
2024-10,BMW,X1,,RY1,167
2024-11,BMW,X1,,RY1,168
2024-12,BMW,X1,,RY1,84
2025-01,BMW,X1,,RY1,105
2025-02,BMW,X1,sDrive18i xLine,RY1,165
2025-03,BMW,X1,sDrive18i xLine,RY1,35
2025-04,BMW,X1,sDrive18i xLine,RY1,145
2025-05,BMW,X1,sDrive18i xLine,RY1,218
2025-06,BMW,X1,sDrive18i xLine,RY1,181
2025-07,BMW,X1,sDrive18i xLine,RY1,135
2025-08,BMW,X1,,RY1,227
2025-09,BMW,X1,,RY1,67
2025-10,BMW,X1,sDrive18i xLine,RY1,164
2025-11,BMW,X1,,RY1,100
2025-12,BMW,X1,sDrive18i xLine,RY1,165
2024-11,BMW,X3,,RY1,89
2024-12,BMW,X3,,RY1,115
2025-01,BMW,X3,20 xDrive M Sport,RY1,73
2025-02,BMW,X3,,RY1,77
2025-03,BMW,X3,,RY1,112
2025-04,BMW,X3,,RY1,70
2025-05,BMW,X3,,RY1,94
2025-06,BMW,X3,,RY1,79
2025-07,BMW,X3,20 xDrive M Sport,RY1,145
2025-08,BMW,X3,,RY1,98
2025-09,BMW,X3,,RY1,84
2025-10,BMW,X3,,RY1,81
2025-11,BMW,X3,,RY1,90
2025-12,BMW,X3,20 xDrive M Sport,RY1,70
2023-01,BMW,iX3,Inspiring,RY1,118
2023-02,BMW,iX3,,RY1,83
2023-03,BMW,iX3,,RY1,109
2023-04,BMW,iX3,Inspiring,RY1,116
2023-05,BMW,iX3,,RY1,104
2023-06,BMW,iX3,,RY1,70
2023-07,BMW,iX3,,RY1,80
2023-08,BMW,iX3,,RY1,92
2023-09,BMW,iX3,,RY1,127
2023-10,BMW,iX3,,RY1,150
2023-11,BMW,iX3,Inspiring,RY1,139
2023-12,BMW,iX3,Inspiring,RY1,104
2024-01,BMW,iX3,,RY1,103
2024-02,BMW,iX3,Inspiring,RY1,51
2024-03,BMW,iX3,,RY1,125
2024-04,BMW,iX3,,RY1,153
2024-05,BMW,iX3,Inspiring,RY1,131
2024-06,BMW,iX3,,RY1,120
2024-07,BMW,iX3,,RY1,81
2024-08,BMW,iX3,,RY1,116
2024-09,BMW,iX3,Inspiring,RY1,170
2024-10,BMW,iX3,,RY1,112
2024-11,BMW,iX3,,RY1,106
2024-12,BMW,iX3,Inspiring,RY1,100
2025-01,BMW,iX3,Inspiring,RY1,127
2025-02,BMW,iX3,Inspiring,RY1,145
2025-03,BMW,iX3,,RY1,121
2025-04,BMW,iX3,,RY1,114
2025-05,BMW,iX3,,RY1,169
2025-06,BMW,iX3,,RY1,126
2025-07,BMW,iX3,,RY1,141
2025-08,BMW,iX3,,RY1,149
2025-09,BMW,iX3,Inspiring,RY1,136
2025-10,BMW,iX3,,RY1,165
2025-11,BMW,iX3,,RY1,158
2025-12,BMW,iX3,,RY1,126
2023-01,BMW,i4,,RY1,132
2023-02,BMW,i4,,RY1,132
2023-03,BMW,i4,,RY1,105
2023-04,BMW,i4,,RY1,88
2023-05,BMW,i4,eDrive40 M Sport,RY1,127
2023-06,BMW,i4,eDrive40 M Sport,RY1,129
2023-07,BMW,i4,,RY1,89
2023-08,BMW,i4,,RY1,122
2023-09,BMW,i4,,RY1,117
2023-10,BMW,i4,,RY1,99
2023-11,BMW,i4,,RY1,102
2023-12,BMW,i4,,RY1,149
2024-01,BMW,i4,,RY1,156
2024-02,BMW,i4,eDrive40 M Sport,RY1,70
2024-03,BMW,i4,,RY1,91
2024-04,BMW,i4,eDrive40 M Sport,RY1,121
2024-05,BMW,i4,eDrive40 M Sport,RY1,121
2024-06,BMW,i4,eDrive40 M Sport,RY1,148
2024-07,BMW,i4,eDrive40 M Sport,RY1,168
2024-08,BMW,i4,,RY1,149
2024-09,BMW,i4,,RY1,132
2024-10,BMW,i4,eDrive40 M Sport,RY1,168
2024-11,BMW,i4,,RY1,181
2024-12,BMW,i4,,RY1,199
2025-01,BMW,i4,,RY1,135
2025-02,BMW,i4,,RY1,162
2025-03,BMW,i4,,RY1,171
2025-04,BMW,i4,,RY1,131
2025-05,BMW,i4,,RY1,178
2025-06,BMW,i4,,RY1,134
2025-07,BMW,i4,eDrive40 M Sport,RY1,161
2025-08,BMW,i4,eDrive40 M Sport,RY1,145
2025-09,BMW,i4,,RY1,169
2025-10,BMW,i4,,RY1,196
2025-11,BMW,i4,,RY1,153
2025-12,BMW,i4,,RY1,179
2023-01,BYD,Atto 3,,RY1,1872
2023-02,BYD,Atto 3,Extended Range,RY1,1192
2023-03,BYD,Atto 3,Extended Range,RY1,1564
2023-04,BYD,Atto 3,Extended Range,RY1,1042
2023-05,BYD,Atto 3,,RY1,1843
2023-06,BYD,Atto 3,,RY1,1686
2023-07,BYD,Atto 3,,RY1,1457
2023-08,BYD,Atto 3,,RY1,1420
2023-09,BYD,Atto 3,Extended Range,RY1,2064
2023-10,BYD,Atto 3,,RY1,1758
2023-11,BYD,Atto 3,,RY1,2254
2023-12,BYD,Atto 3,Extended Range,RY1,2295
2024-01,BYD,Atto 3,Extended Range,RY1,870
2024-02,BYD,Atto 3,,RY1,1837
2024-03,BYD,Atto 3,,RY1,988
2024-04,BYD,Atto 3,,RY1,550
2024-05,BYD,Atto 3,,RY1,2213
2024-06,BYD,Atto 3,Extended Range,RY1,2345
2024-07,BYD,Atto 3,Extended Range,RY1,2347
2024-08,BYD,Atto 3,Extended Range,RY1,1645
2024-09,BYD,Atto 3,,RY1,1103
2024-10,BYD,Atto 3,Extended Range,RY1,2425
2024-11,BYD,Atto 3,Extended Range,RY1,1768
2024-12,BYD,Atto 3,Extended Range,RY1,1651
2025-01,BYD,Atto 3,Extended Range,RY1,2685
2025-02,BYD,Atto 3,,RY1,1655
2025-03,BYD,Atto 3,Extended Range,RY1,1862
2025-04,BYD,Atto 3,,RY1,1621
2025-05,BYD,Atto 3,,RY1,2003
2025-06,BYD,Atto 3,,RY1,1441
2025-07,BYD,Atto 3,,RY1,2433
2025-08,BYD,Atto 3,Extended Range,RY1,1626
2025-09,BYD,Atto 3,,RY1,2260
2025-10,BYD,Atto 3,Extended Range,RY1,2081
2025-11,BYD,Atto 3,Extended Range,RY1,1640
2025-12,BYD,Atto 3,,RY1,1474
2023-05,BYD,Dolphin,Standard Range,RY1,1613
2023-06,BYD,Dolphin,,RY1,1239
2023-07,BYD,Dolphin,,RY1,1253
2023-08,BYD,Dolphin,,RY1,1535
2023-09,BYD,Dolphin,,RY1,1953
2023-10,BYD,Dolphin,,RY1,1404
2023-11,BYD,Dolphin,,RY1,1530
2023-12,BYD,Dolphin,Standard Range,RY1,782
2024-01,BYD,Dolphin,Extended Range,RY1,1753
2024-02,BYD,Dolphin,Standard Range,RY1,1983
2024-03,BYD,Dolphin,,RY1,2333
2024-04,BYD,Dolphin,,RY1,2202
2024-05,BYD,Dolphin,,RY1,768
2024-06,BYD,Dolphin,Standard Range,RY1,1497
2024-07,BYD,Dolphin,Extended Range,RY1,1761
2024-08,BYD,Dolphin,,RY1,2370
2024-09,BYD,Dolphin,Standard Range,RY1,1635
2024-10,BYD,Dolphin,Extended Range,RY1,2006
2024-11,BYD,Dolphin,Extended Range,RY1,1646
2024-12,BYD,Dolphin,,RY1,2087
2025-01,BYD,Dolphin,Standard Range,RY1,1540
2025-02,BYD,Dolphin,Extended Range,RY1,1933
2025-03,BYD,Dolphin,Standard Range,RY1,2351
2025-04,BYD,Dolphin,,RY1,1396
2025-05,BYD,Dolphin,Extended Range,RY1,1346
2025-06,BYD,Dolphin,Standard Range,RY1,1234
2025-07,BYD,Dolphin,,RY1,1823
2025-08,BYD,Dolphin,,RY1,2911
2025-09,BYD,Dolphin,,RY1,1743
2025-10,BYD,Dolphin,,RY1,1402
2025-11,BYD,Dolphin,Standard Range,RY1,1667
2025-12,BYD,Dolphin,,RY1,2588
2023-09,BYD,Seal,,RY1,344
2023-10,BYD,Seal,AWD Performance,RY1,541
2023-11,BYD,Seal,AWD Performance,RY1,611
2023-12,BYD,Seal,,RY1,319
2024-01,BYD,Seal,AWD Performance,RY1,692
2024-02,BYD,Seal,,RY1,336
2024-03,BYD,Seal,,RY1,536
2024-04,BYD,Seal,,RY1,456
2024-05,BYD,Seal,,RY1,477
2024-06,BYD,Seal,AWD Performance,RY1,156
2024-07,BYD,Seal,,RY1,267
2024-08,BYD,Seal,Dynamic,RY1,436
2024-09,BYD,Seal,AWD Performance,RY1,270
2024-10,BYD,Seal,Dynamic,RY1,392
2024-11,BYD,Seal,,RY1,386
2024-12,BYD,Seal,,RY1,449
2025-01,BYD,Seal,,RY1,216
2025-02,BYD,Seal,Dynamic,RY1,163
2025-03,BYD,Seal,,RY1,425
2025-04,BYD,Seal,,RY1,173
2025-05,BYD,Seal,AWD Performance,RY1,429
2025-06,BYD,Seal,,RY1,376
2025-07,BYD,Seal,Dynamic,RY1,408
2025-08,BYD,Seal,,RY1,428
2025-09,BYD,Seal,,RY1,293
2025-10,BYD,Seal,AWD Performance,RY1,388
2025-11,BYD,Seal,,RY1,369
2025-12,BYD,Seal,Dynamic,RY1,504
2024-07,BYD,Sealion 6 DM-i,,RY1,995
2024-08,BYD,Sealion 6 DM-i,,RY1,1091
2024-09,BYD,Sealion 6 DM-i,Dynamic DM-i,RY1,828
2024-10,BYD,Sealion 6 DM-i,,RY1,1114
2024-11,BYD,Sealion 6 DM-i,Dynamic DM-i,RY1,869
2024-12,BYD,Sealion 6 DM-i,,RY1,1099
2025-01,BYD,Sealion 6 DM-i,,RY1,762
2025-02,BYD,Sealion 6 DM-i,,RY1,831
2025-03,BYD,Sealion 6 DM-i,,RY1,651
2025-04,BYD,Sealion 6 DM-i,Dynamic DM-i,RY1,857
2025-05,BYD,Sealion 6 DM-i,Dynamic DM-i,RY1,890
2025-06,BYD,Sealion 6 DM-i,,RY1,996
2025-07,BYD,Sealion 6 DM-i,,RY1,1171
2025-08,BYD,Sealion 6 DM-i,,RY1,1400
2025-09,BYD,Sealion 6 DM-i,,RY1,1031
2025-10,BYD,Sealion 6 DM-i,,RY1,1074
2025-11,BYD,Sealion 6 DM-i,,RY1,1095
2025-12,BYD,Sealion 6 DM-i,,RY1,924
2025-01,BYD,Sealion 7,Premium,RY1,342
2025-02,BYD,Sealion 7,,RY1,298
2025-03,BYD,Sealion 7,,RY1,247
2025-04,BYD,Sealion 7,,RY1,405
2025-05,BYD,Sealion 7,,RY1,401
2025-06,BYD,Sealion 7,Premium,RY1,126
2025-07,BYD,Sealion 7,,RY1,231
2025-08,BYD,Sealion 7,Premium,RY1,594
2025-09,BYD,Sealion 7,Premium,RY1,219
2025-10,BYD,Sealion 7,Premium,RY1,125
2025-11,BYD,Sealion 7,,RY1,153
2025-12,BYD,Sealion 7,,RY1,193
2024-08,BYD,BYD M6,,RY1,1101
2024-09,BYD,BYD M6,,RY1,1267
2024-10,BYD,BYD M6,,RY1,1075
2024-11,BYD,BYD M6,,RY1,720
2024-12,BYD,BYD M6,,RY1,823
2025-01,BYD,BYD M6,Dynamic,RY1,1287
2025-02,BYD,BYD M6,,RY1,1260
2025-03,BYD,BYD M6,Dynamic,RY1,1841
2025-04,BYD,BYD M6,,RY1,1802
2025-05,BYD,BYD M6,,RY1,1198
2025-06,BYD,BYD M6,Dynamic,RY1,1451
2025-07,BYD,BYD M6,,RY1,1616
2025-08,BYD,BYD M6,,RY1,1684
2025-09,BYD,BYD M6,Dynamic,RY1,1910
2025-10,BYD,BYD M6,Dynamic,RY1,920
2025-11,BYD,BYD M6,,RY1,1272
2025-12,BYD,BYD M6,,RY1,1022
2025-03,BYD,Shark 6,,RY3,1291
2025-04,BYD,Shark 6,,RY3,3722
2025-05,BYD,Shark 6,,RY3,2340
2025-06,BYD,Shark 6,,RY3,3188
2025-07,BYD,Shark 6,,RY3,4066
2025-08,BYD,Shark 6,,RY3,3344
2025-09,BYD,Shark 6,,RY3,3791
2025-10,BYD,Shark 6,Premium DMO,RY3,2529
2025-11,BYD,Shark 6,,RY3,2723
2025-12,BYD,Shark 6,Premium DMO,RY3,2914
2024-08,BYD,Dolphin Mini,,RY1,118
2024-09,BYD,Dolphin Mini,,RY1,128
2024-10,BYD,Dolphin Mini,,RY1,68
2024-11,BYD,Dolphin Mini,,RY1,349
2024-12,BYD,Dolphin Mini,,RY1,324
2025-01,BYD,Dolphin Mini,,RY1,142
2025-02,BYD,Dolphin Mini,,RY1,293
2025-03,BYD,Dolphin Mini,Standard,RY1,100
2025-04,BYD,Dolphin Mini,,RY1,296
2025-05,BYD,Dolphin Mini,,RY1,225
2025-06,BYD,Dolphin Mini,Standard,RY1,269
2025-07,BYD,Dolphin Mini,,RY1,269
2025-08,BYD,Dolphin Mini,,RY1,133
2025-09,BYD,Dolphin Mini,Standard,RY1,138
2025-10,BYD,Dolphin Mini,Standard,RY1,133
2025-11,BYD,Dolphin Mini,,RY1,250
2025-12,BYD,Dolphin Mini,Standard,RY1,192
2024-03,Changan,Deepal S07,Long Range,RY1,335
2024-04,Changan,Deepal S07,,RY1,231
2024-05,Changan,Deepal S07,Long Range,RY1,271
2024-06,Changan,Deepal S07,,RY1,377
2024-07,Changan,Deepal S07,,RY1,378
2024-08,Changan,Deepal S07,,RY1,296
2024-09,Changan,Deepal S07,,RY1,197
2024-10,Changan,Deepal S07,Long Range,RY1,269
2024-11,Changan,Deepal S07,,RY1,313
2024-12,Changan,Deepal S07,,RY1,294
2025-01,Changan,Deepal S07,Long Range,RY1,283
2025-02,Changan,Deepal S07,Long Range,RY1,265
2025-03,Changan,Deepal S07,,RY1,279
2025-04,Changan,Deepal S07,,RY1,430
2025-05,Changan,Deepal S07,Long Range,RY1,342
2025-06,Changan,Deepal S07,Long Range,RY1,363
2025-07,Changan,Deepal S07,,RY1,335
2025-08,Changan,Deepal S07,,RY1,208
2025-09,Changan,Deepal S07,Long Range,RY1,316
2025-10,Changan,Deepal S07,Long Range,RY1,423
2025-11,Changan,Deepal S07,,RY1,372
2025-12,Changan,Deepal S07,Long Range,RY1,407
2024-06,Changan,Deepal L07,,RY1,99
2024-07,Changan,Deepal L07,,RY1,112
2024-08,Changan,Deepal L07,,RY1,63
2024-09,Changan,Deepal L07,Long Range,RY1,71
2024-10,Changan,Deepal L07,Long Range,RY1,128
2024-11,Changan,Deepal L07,,RY1,65
2024-12,Changan,Deepal L07,,RY1,71
2025-01,Changan,Deepal L07,,RY1,49
2025-02,Changan,Deepal L07,,RY1,89
2025-03,Changan,Deepal L07,,RY1,84
2025-04,Changan,Deepal L07,,RY1,128
2025-05,Changan,Deepal L07,,RY1,137
2025-06,Changan,Deepal L07,Long Range,RY1,85
2025-07,Changan,Deepal L07,,RY1,95
2025-08,Changan,Deepal L07,Long Range,RY1,146
2025-09,Changan,Deepal L07,Long Range,RY1,98
2025-10,Changan,Deepal L07,Long Range,RY1,62
2025-11,Changan,Deepal L07,,RY1,64
2025-12,Changan,Deepal L07,,RY1,102
2024-04,Chery,Omoda C5,EV Luxury,RY1,274
2024-05,Chery,Omoda C5,,RY1,369
2024-06,Chery,Omoda C5,,RY1,272
2024-07,Chery,Omoda C5,EV Luxury,RY1,466
2024-08,Chery,Omoda C5,,RY1,406
2024-09,Chery,Omoda C5,EV Luxury,RY1,390
2024-10,Chery,Omoda C5,,RY1,354
2024-11,Chery,Omoda C5,EV Luxury,RY1,391
2024-12,Chery,Omoda C5,,RY1,209
2025-01,Chery,Omoda C5,EV Luxury,RY1,272
2025-02,Chery,Omoda C5,,RY1,330
2025-03,Chery,Omoda C5,,RY1,328
2025-04,Chery,Omoda C5,,RY1,352
2025-05,Chery,Omoda C5,,RY1,483
2025-06,Chery,Omoda C5,,RY1,465
2025-07,Chery,Omoda C5,EV Luxury,RY1,235
2025-08,Chery,Omoda C5,EV Luxury,RY1,389
2025-09,Chery,Omoda C5,EV Luxury,RY1,525
2025-10,Chery,Omoda C5,,RY1,269
2025-11,Chery,Omoda C5,,RY1,226
2025-12,Chery,Omoda C5,,RY1,293
2024-09,Chery,Jaecoo J7,,RY1,294
2024-10,Chery,Jaecoo J7,,RY1,240
2024-11,Chery,Jaecoo J7,PHEV Luxury,RY1,246
2024-12,Chery,Jaecoo J7,PHEV Luxury,RY1,236
2025-01,Chery,Jaecoo J7,,RY1,237
2025-02,Chery,Jaecoo J7,PHEV Luxury,RY1,230
2025-03,Chery,Jaecoo J7,,RY1,141
2025-04,Chery,Jaecoo J7,PHEV Luxury,RY1,184
2025-05,Chery,Jaecoo J7,,RY1,230
2025-06,Chery,Jaecoo J7,,RY1,223
2025-07,Chery,Jaecoo J7,,RY1,91
2025-08,Chery,Jaecoo J7,,RY1,155
2025-09,Chery,Jaecoo J7,,RY1,107
2025-10,Chery,Jaecoo J7,PHEV Luxury,RY1,158
2025-11,Chery,Jaecoo J7,,RY1,197
2025-12,Chery,Jaecoo J7,,RY1,55
2023-01,Ford,Ranger,,RY3,3941
2023-02,Ford,Ranger,2.0 XLT Open Cab,RY3,3510
2023-03,Ford,Ranger,,RY3,2761
2023-04,Ford,Ranger,,RY3,3454
2023-05,Ford,Ranger,,RY3,3137
2023-06,Ford,Ranger,2.0 XL Single Cab,RY3,2176
2023-07,Ford,Ranger,2.0 Wildtrak 4x4 Double Cab,RY3,2839
2023-08,Ford,Ranger,2.0 XLT Open Cab,RY3,2212
2023-09,Ford,Ranger,3.0 Raptor Double Cab,RY3,3693
