เดือน,ยี่ห้อ,แบบรถ,จำนวน
2026-07,Nissan,Navara King Cab,847
2026-08,Nissan,Navara King Cab,439
2026-09,Nissan,Navara,604
2026-10,Nissan,Navara,673
2026-11,Nissan,Navara,604
2026-12,Nissan,Navara King Cab,1030
2026-01,Toyota,Hilux Revo,1933
2026-02,Toyota,Hilux Revo,4100
2026-03,Toyota,Hilux Revo,3728
2026-04,Toyota,Hilux Revo,1663
2026-05,Toyota,Hilux Revo,4112
2026-06,Toyota,Hilux Revo,4503
2026-07,Toyota,Hilux Revo,4771
2026-08,Toyota,Hilux Revo,4691
2026-09,Toyota,Hilux Revo Single Cab,6044
2026-10,Toyota,Hilux Revo Single Cab,5481
2026-11,Toyota,Hilux Revo Single Cab,7082
2026-12,Toyota,Hilux Revo Single Cab,3710
2026-01,Toyota,Hilux Revo,6188
2026-02,Toyota,Hilux Revo,4328
2026-03,Toyota,Hilux Revo Smart Cab,3814
2026-04,Toyota,Hilux Revo,3684
2026-05,Toyota,Hilux Revo Smart Cab,2003
2026-06,Toyota,Hilux Revo Smart Cab,1523
2026-07,Toyota,Hilux Revo,1327
2026-08,Toyota,Hilux Revo,3898
2026-09,Toyota,Hilux Revo Smart Cab,931
2026-10,Toyota,Hilux Revo Smart Cab,4073
2026-11,Toyota,Hilux Revo,2776
2026-12,Toyota,Hilux Revo,2633
2026-01,Toyota,Hilux Champ,3330
2026-02,Toyota,Hilux Champ,3068
2026-03,Toyota,Hilux Champ,3343
2026-04,Toyota,Hilux Champ,6363
2026-05,Toyota,Hilux Champ,3326
2026-06,Toyota,Hilux Champ,4261
2026-07,Toyota,Hilux Champ,3468
2026-08,Toyota,Hilux Champ,5197
2026-09,Toyota,Hilux Champ,6349
2026-10,Toyota,Hilux Champ,3816
2026-11,Toyota,Hilux Champ,6255
2026-12,Toyota,Hilux Champ,4556
