เดือน,ยี่ห้อ,แบบรถ,รุ่นย่อย,จำนวน
2026-04,BYD,Dolphin,Extended Range,1728
2026-05,BYD,Dolphin,,2246
2026-06,BYD,Dolphin,Standard Range,1350
2026-07,BYD,Dolphin,,2316
2026-08,BYD,Dolphin,,2187
2026-09,BYD,Dolphin,,2198
2026-10,BYD,Dolphin,,1444
2026-11,BYD,Dolphin,,2165
2026-12,BYD,Dolphin,Extended Range,1548
2026-01,BYD,Seal,AWD Performance,447
2026-02,BYD,Seal,Dynamic,398
2026-03,BYD,Seal,Dynamic,460
2026-04,BYD,Seal,,286
2026-05,BYD,Seal,Dynamic,468
2026-06,BYD,Seal,,299
2026-07,BYD,Seal,,442
2026-08,BYD,Seal,,422
2026-09,BYD,Seal,,411
2026-10,BYD,Seal,AWD Performance,349
2026-11,BYD,Seal,,446
2026-12,BYD,Seal,,505
2026-01,BYD,Sealion 6 DM-i,Dynamic DM-i,1079
2026-02,BYD,Sealion 6 DM-i,,833
2026-03,BYD,Sealion 6 DM-i,,665
2026-04,BYD,Sealion 6 DM-i,,1663
2026-05,BYD,Sealion 6 DM-i,Dynamic DM-i,1325
2026-06,BYD,Sealion 6 DM-i,,1089
2026-07,BYD,Sealion 6 DM-i,,1238
2026-08,BYD,Sealion 6 DM-i,,1135
2026-09,BYD,Sealion 6 DM-i,,1050
2026-10,BYD,Sealion 6 DM-i,,1039
2026-11,BYD,Sealion 6 DM-i,Dynamic DM-i,557
2026-12,BYD,Sealion 6 DM-i,,760
2026-01,BYD,Sealion 7,Premium,593
2026-02,BYD,Sealion 7,,633
2026-03,BYD,Sealion 7,,197
2026-04,BYD,Sealion 7,Premium,535
2026-05,BYD,Sealion 7,,454
2026-06,BYD,Sealion 7,Premium,629
2026-07,BYD,Sealion 7,Premium,561
2026-08,BYD,Sealion 7,,440
2026-09,BYD,Sealion 7,Premium,721
2026-10,BYD,Sealion 7,,594
2026-11,BYD,Sealion 7,,690
2026-12,BYD,Sealion 7,,597
2026-01,BYD,BYD M6,Dynamic,1172
2026-02,BYD,BYD M6,Dynamic,1547
2026-03,BYD,BYD M6,,1427
2026-04,BYD,BYD M6,Dynamic,1245
2026-05,BYD,BYD M6,Dynamic,563
2026-06,BYD,BYD M6,,941
2026-07,BYD,BYD M6,,1223
2026-08,BYD,BYD M6,,1212
2026-09,BYD,BYD M6,Dynamic,1106
2026-10,BYD,BYD M6,Dynamic,1542
2026-11,BYD,BYD M6,,1454
2026-12,BYD,BYD M6,,1357
2026-01,BYD,Shark 6,,931
2026-02,BYD,Shark 6,,1065
2026-03,BYD,Shark 6,,620
2026-04,BYD,Shark 6,Premium DMO,856
2026-05,BYD,Shark 6,,1366
2026-06,BYD,Shark 6,Premium DMO,1224
2026-07,BYD,Shark 6,,1478
2026-08,BYD,Shark 6,Premium DMO,1707
2026-09,BYD,Shark 6,,1408
2026-10,BYD,Shark 6,,1139
2026-11,BYD,Shark 6,,1331
2026-12,BYD,Shark 6,,1572
2026-01,BYD,Dolphin Mini,,404
2026-02,BYD,Dolphin Mini,,444
2026-03,BYD,Dolphin Mini,Standard,244
2026-04,BYD,Dolphin Mini,,381
2026-05,BYD,Dolphin Mini,Standard,228
2026-06,BYD,Dolphin Mini,Standard,436
2026-07,BYD,Dolphin Mini,,206
2026-08,BYD,Dolphin Mini,,438
2026-09,BYD,Dolphin Mini,Standard,325
2026-10,BYD,Dolphin Mini,,414
2026-11,BYD,Dolphin Mini,,338
2026-12,BYD,Dolphin Mini,,519
2026-01,Changan,Deepal S07,Long Range,299
2026-02,Changan,Deepal S07,,239
2026-03,Changan,Deepal S07,,147
2026-04,Changan,Deepal S07,,265
2026-05,Changan,Deepal S07,,280
2026-06,Changan,Deepal S07,,216
2026-07,Changan,Deepal S07,,254
2026-08,Changan,Deepal S07,,349
2026-09,Changan,Deepal S07,,389
2026-10,Changan,Deepal S07,,397
2026-11,Changan,Deepal S07,,303
2026-12,Changan,Deepal S07,,233
2026-01,Changan,Deepal L07,,74
2026-02,Changan,Deepal L07,,85
2026-03,Changan,Deepal L07,Long Range,127
2026-04,Changan,Deepal L07,Long Range,125
2026-05,Changan,Deepal L07,Long Range,92
2026-06,Changan,Deepal L07,Long Range,108
2026-07,Changan,Deepal L07,,80
2026-08,Changan,Deepal L07,,147
2026-09,Changan,Deepal L07,,142
2026-10,Changan,Deepal L07,Long Range,143
2026-11,Changan,Deepal L07,,152
2026-12,Changan,Deepal L07,,89
2026-01,Chery,Omoda C5,EV Luxury,408
2026-02,Chery,Omoda C5,EV Luxury,380
2026-03,Chery,Omoda C5,,366
2026-04,Chery,Omoda C5,,361
2026-05,Chery,Omoda C5,,327
2026-06,Chery,Omoda C5,EV Luxury,293
2026-07,Chery,Omoda C5,,319
2026-08,Chery,Omoda C5,EV Luxury,215
2026-09,Chery,Omoda C5,,402
2026-10,Chery,Omoda C5,EV Luxury,65
2026-11,Chery,Omoda C5,,276
2026-12,Chery,Omoda C5,,258
2026-01,Chery,Jaecoo J7,PHEV Luxury,367
2026-02,Chery,Jaecoo J7,PHEV Luxury,334
2026-03,Chery,Jaecoo J7,,316
2026-04,Chery,Jaecoo J7,,285
2026-05,Chery,Jaecoo J7,,237
2026-06,Chery,Jaecoo J7,,370
2026-07,Chery,Jaecoo J7,,193
2026-08,Chery,Jaecoo J7,PHEV Luxury,295
2026-09,Chery,Jaecoo J7,,316
2026-10,Chery,Jaecoo J7,,296
2026-11,Chery,Jaecoo J7,,265
2026-12,Chery,Jaecoo J7,,327
2026-01,Ford,Ranger Double Cab,,1569
2026-02,Ford,Ranger Double Cab,,942
2026-03,Ford,Ranger,,1152
2026-04,Ford,Ranger,3.0 Raptor,1543
2026-05,Ford,Ranger Double Cab,,1567
2026-06,Ford,Ranger,3.0 Raptor,564
2026-07,Ford,Ranger Double Cab,,1475
2026-08,Ford,Ranger,,1647
2026-09,Ford,Ranger,3.0 Raptor,1462
2026-10,Ford,Ranger Double Cab,,1332
2026-11,Ford,Ranger Double Cab,,1521
2026-12,Ford,Ranger Double Cab,,1530
2026-01,Ford,Everest,2.0 Titanium+ 4x2,582
2026-02,Ford,Everest,,472
2026-03,Ford,Everest,2.0 Platinum 4x4,235
2026-04,Ford,Everest,2.0 Platinum 4x4,259
2026-05,Ford,Everest,,459
2026-06,Ford,Everest,,506
2026-07,Ford,Everest,2.0 Platinum 4x4,585
2026-08,Ford,Everest,2.0 Titanium+ 4x2,314
2026-09,Ford,Everest,2.0 Platinum 4x4,416
2026-10,Ford,Everest,2.0 Titanium+ 4x2,452
2026-11,Ford,Everest,,485
2026-12,Ford,Everest,2.0 Platinum 4x4,380
2026-01,Ford,Mustang,,451
2026-02,Ford,Mustang,5.0 GT,228
2026-03,Ford,Mustang,,473
2026-04,Ford,Mustang,,304
2026-05,Ford,Mustang,,247
2026-06,Ford,Mustang,5.0 GT,344
2026-07,Ford,Mustang,5.0 GT,298
2026-08,Ford,Mustang,,131
2026-09,Ford,Mustang,,398
2026-10,Ford,Mustang,5.0 GT,414
2026-11,Ford,Mustang,,127
2026-12,Ford,Mustang,,466
2026-01,GWM,Haval H6,,332
2026-02,GWM,Haval H6,,180
2026-03,GWM,Haval H6,,353
2026-04,GWM,Haval H6,,317
2026-05,GWM,Haval H6,,370
2026-06,GWM,Haval H6,,494
2026-07,GWM,Haval H6,HEV Ultra,504
2026-08,GWM,Haval H6,,526
2026-09,GWM,Haval H6,HEV Ultra,293
2026-10,GWM,Haval H6,HEV Ultra,389
2026-11,GWM,Haval H6,PHEV Ultra,308
2026-12,GWM,Haval H6,,367
2026-01,GWM,Haval Jolion,,827
2026-02,GWM,Haval Jolion,,555
2026-03,GWM,Haval Jolion,,631
2026-04,GWM,Haval Jolion,HEV Ultra,650
2026-05,GWM,Haval Jolion,HEV Ultra,679
2026-06,GWM,Haval Jolion,HEV Ultra,894
2026-07,GWM,Haval Jolion,HEV Ultra,715
2026-08,GWM,Haval Jolion,,684
2026-09,GWM,Haval Jolion,,921
2026-10,GWM,Haval Jolion,,428
2026-11,GWM,Haval Jolion,HEV Ultra,567
2026-12,GWM,Haval Jolion,,1033
2026-01,GWM,Ora Good Cat,,276
2026-02,GWM,Ora Good Cat,500 Ultra,665
2026-03,GWM,Ora Good Cat,500 Ultra,640
2026-04,GWM,Ora Good Cat,,710
2026-05,GWM,Ora Good Cat,,301
2026-06,GWM,Ora Good Cat,,806
2026-07,GWM,Ora Good Cat,,490
2026-08,GWM,Ora Good Cat,,731
2026-09,GWM,Ora Good Cat,500 Ultra,576
2026-10,GWM,Ora Good Cat,500 Ultra,402
2026-11,GWM,Ora Good Cat,,555
2026-12,GWM,Ora Good Cat,500 Ultra,349
2026-01,GWM,Ora 03,,760
2026-02,GWM,Ora 03,,804
2026-03,GWM,Ora 03,,750
2026-04,GWM,Ora 03,,760
2026-05,GWM,Ora 03,500 Ultra,738
2026-06,GWM,Ora 03,500 Ultra,734
2026-07,GWM,Ora 03,,842
2026-08,GWM,Ora 03,500 Ultra,991
2026-09,GWM,Ora 03,,705
2026-10,GWM,Ora 03,,723
2026-11,GWM,Ora 03,,528
2026-12,GWM,Ora 03,500 Ultra,704
2026-01,GWM,Tank 300,,381
2026-02,GWM,Tank 300,,293
2026-03,GWM,Tank 300,,230
2026-04,GWM,Tank 300,,440
2026-05,GWM,Tank 300,,466
2026-06,GWM,Tank 300,,284
2026-07,GWM,Tank 300,HEV Ultra 4WD,298
2026-08,GWM,Tank 300,HEV Ultra 4WD,484
2026-09,GWM,Tank 300,,264
2026-10,GWM,Tank 300,,356
2026-11,GWM,Tank 300,,313
2026-12,GWM,Tank 300,HEV Ultra 4WD,287
2026-01,GWM,Tank 500,HEV Ultra 4WD,37
2026-02,GWM,Tank 500,,56
2026-03,GWM,Tank 500,,61
2026-04,GWM,Tank 500,HEV Ultra 4WD,44
2026-05,GWM,Tank 500,HEV Ultra 4WD,65
2026-06,GWM,Tank 500,,69
2026-07,GWM,Tank 500,HEV Ultra 4WD,51
2026-08,GWM,Tank 500,,56
2026-09,GWM,Tank 500,,56
2026-10,GWM,Tank 500,,75
2026-11,GWM,Tank 500,,77
2026-12,GWM,Tank 500,,67
2026-01,Honda,City,e:HEV RS,2819
2026-02,Honda,City,e:HEV SV,1670
2026-03,Honda,City,,2697
2026-04,Honda,City,,1620
2026-05,Honda,City,,1495
2026-06,Honda,City,e:HEV SV,1912
2026-07,Honda,City,,2333
2026-08,Honda,City,e:HEV SV,2543
2026-09,Honda,City,e:HEV SV,796
2026-10,Honda,City,,738
2026-11,Honda,City,e:HEV RS,1826
2026-12,Honda,City,1.0 Turbo S+,1971
2026-01,Honda,City Hatchback,,1489
2026-02,Honda,City Hatchback,,1880
2026-03,Honda,City Hatchback,,1421
2026-04,Honda,City Hatchback,1.0 Turbo SV,2161
2026-05,Honda,City Hatchback,,2705
2026-06,Honda,City Hatchback,,3346
2026-07,Honda,City Hatchback,,3744
2026-08,Honda,City Hatchback,,2028
2026-09,Honda,City Hatchback,,2855
2026-10,Honda,City Hatchback,e:HEV RS,1815
2026-11,Honda,City Hatchback,1.0 Turbo SV,3057
2026-12,Honda,City Hatchback,1.0 Turbo SV,2460
2026-01,Honda,Civic,1.5 Turbo EL+,1566
2026-02,Honda,Civic,,1231
2026-03,Honda,Civic,1.5 Turbo EL+,1991
2026-04,Honda,Civic,,834
2026-05,Honda,Civic,1.5 Turbo EL+,1328
2026-06,Honda,Civic,1.5 Turbo EL+,1813
2026-07,Honda,Civic,,1822
2026-08,Honda,Civic,1.5 Turbo EL+,1465
2026-09,Honda,Civic,,1760
2026-10,Honda,Civic,,2165
2026-11,Honda,Civic,1.5 Turbo EL+,1832
2026-12,Honda,Civic,,1649
2026-01,Honda,Accord,e:HEV EL,574
2026-02,Honda,Accord,e:HEV EL,591
2026-03,Honda,Accord,,502
2026-04,Honda,Accord,,1028
2026-05,Honda,Accord,,655
2026-06,Honda,Accord,,587
2026-07,Honda,Accord,,508
2026-08,Honda,Accord,,790
2026-09,Honda,Accord,,939
2026-10,Honda,Accord,,675
2026-11,Honda,Accord,e:HEV EL,727
2026-12,Honda,Accord,,819
2026-01,Honda,HR-V,,3403
2026-02,Honda,HR-V,e:HEV RS,1247
2026-03,Honda,HR-V,,2563
2026-04,Honda,HR-V,e:HEV RS,1991
2026-05,Honda,HR-V,e:HEV RS,2905
2026-06,Honda,HR-V,,1935
2026-07,Honda,HR-V,,3218
2026-08,Honda,HR-V,e:HEV RS,2101
2026-09,Honda,HR-V,e:HEV RS,1239
2026-10,Honda,HR-V,,2851
2026-11,Honda,HR-V,,2375
2026-12,Honda,HR-V,e:HEV E,2533
2026-01,Honda,CR-V,,2552
2026-02,Honda,CR-V,,1701
2026-03,Honda,CR-V,,911
2026-04,Honda,CR-V,,1353
2026-05,Honda,CR-V,,1028
2026-06,Honda,CR-V,,2341
2026-07,Honda,CR-V,,2100
2026-08,Honda,CR-V,,1691
2026-09,Honda,CR-V,,2027
2026-10,Honda,CR-V,2.0 e:HEV RS,1757
2026-11,Honda,CR-V,,2211
2026-12,Honda,CR-V,2.0 e:HEV RS,2399
2026-01,Honda,WR-V,,1900
2026-02,Honda,WR-V,1.5 SV,2121
2026-03,Honda,WR-V,,3158
2026-04,Honda,WR-V,1.5 RS,2665
2026-05,Honda,WR-V,,2421
2026-06,Honda,WR-V,,3125
2026-07,Honda,WR-V,,966
2026-08,Honda,WR-V,,1738
2026-09,Honda,WR-V,,928
2026-10,Honda,WR-V,,806
2026-11,Honda,WR-V,,3029
2026-12,Honda,WR-V,1.5 SV,682
2026-01,Honda,BR-V,,3015
2026-02,Honda,BR-V,,3273
2026-03,Honda,BR-V,1.5 EL,2836
2026-04,Honda,BR-V,1.5 EL,2060
2026-05,Honda,BR-V,,1848
2026-06,Honda,BR-V,,4129
2026-07,Honda,BR-V,,3254
2026-08,Honda,BR-V,1.5 EL,2722
2026-09,Honda,BR-V,,3274
2026-10,Honda,BR-V,,2443
2026-11,Honda,BR-V,1.5 EL,2991
2026-12,Honda,BR-V,,3188
2026-01,Honda,e:N1,e:N1,1624
2026-02,Honda,e:N1,,3488
2026-03,Honda,e:N1,e:N1,2463
2026-04,Honda,e:N1,,3604
2026-05,Honda,e:N1,,2923
2026-06,Honda,e:N1,,1922
2026-07,Honda,e:N1,,2651
2026-08,Honda,e:N1,,1762
2026-09,Honda,e:N1,e:N1,2635
2026-10,Honda,e:N1,e:N1,2476
2026-11,Honda,e:N1,,3812
2026-12,Honda,e:N1,,2000
2026-01,Hyundai,Creta,,409
2026-02,Hyundai,Creta,,394
2026-03,Hyundai,Creta,1.5 SEL,141
2026-04,Hyundai,Creta,1.5 SEL,446
2026-05,Hyundai,Creta,,313
2026-06,Hyundai,Creta,1.5 SEL,354
2026-07,Hyundai,Creta,,300
2026-08,Hyundai,Creta,1.5 SEL,215
2026-09,Hyundai,Creta,,151
2026-10,Hyundai,Creta,,231
2026-11,Hyundai,Creta,1.5 SEL,217
2026-12,Hyundai,Creta,,312
2026-01,Hyundai,Stargazer,,506
2026-02,Hyundai,Stargazer,,321
2026-03,Hyundai,Stargazer,1.5 Smart,502
2026-04,Hyundai,Stargazer,1.5 Smart,382
2026-05,Hyundai,Stargazer,1.5 Smart,510
2026-06,Hyundai,Stargazer,,458
2026-07,Hyundai,Stargazer,,298
2026-08,Hyundai,Stargazer,,152
2026-09,Hyundai,Stargazer,,236
2026-10,Hyundai,Stargazer,,476
2026-11,Hyundai,Stargazer,,516
2026-12,Hyundai,Stargazer,1.5 Smart,498
2026-01,Hyundai,Ioniq 5,,237
2026-02,Hyundai,Ioniq 5,,230
2026-03,Hyundai,Ioniq 5,,147
2026-04,Hyundai,Ioniq 5,,302
2026-05,Hyundai,Ioniq 5,Exclusive,221
2026-06,Hyundai,Ioniq 5,,236
2026-07,Hyundai,Ioniq 5,,285
2026-08,Hyundai,Ioniq 5,,272
2026-09,Hyundai,Ioniq 5,,108
2026-10,Hyundai,Ioniq 5,Exclusive,296
2026-11,Hyundai,Ioniq 5,,135
2026-12,Hyundai,Ioniq 5,,122
2026-01,Hyundai,Ioniq 6,,78
2026-02,Hyundai,Ioniq 6,,124
2026-03,Hyundai,Ioniq 6,,162
2026-04,Hyundai,Ioniq 6,Exclusive,96
2026-05,Hyundai,Ioniq 6,,116
2026-06,Hyundai,Ioniq 6,,115
2026-07,Hyundai,Ioniq 6,,130
2026-08,Hyundai,Ioniq 6,,153
2026-09,Hyundai,Ioniq 6,Exclusive,159
2026-10,Hyundai,Ioniq 6,,119
2026-11,Hyundai,Ioniq 6,Exclusive,119
2026-12,Hyundai,Ioniq 6,,168
2026-01,Isuzu,D-Max Double Cab,,3380
2026-02,Isuzu,D-Max,,3117
2026-03,Isuzu,D-Max Double Cab,1.9 Hi-Lander,2178
2026-04,Isuzu,D-Max Double Cab,,2021
2026-05,Isuzu,D-Max Double Cab,3.0 V-Cross 4x4,2608
2026-06,Isuzu,D-Max Double Cab,,4853
2026-07,Isuzu,D-Max Double Cab,,2122
2026-08,Isuzu,D-Max Double Cab,,1049
2026-09,Isuzu,D-Max Double Cab,,2580
2026-10,Isuzu,D-Max,1.9 Hi-Lander,1839
2026-11,Isuzu,D-Max Double Cab,,3717
2026-12,Isuzu,D-Max Double Cab,,2432
2026-01,Isuzu,MU-X,1.9 Active,1290
2026-02,Isuzu,MU-X,1.9 Active,1223
2026-03,Isuzu,MU-X,,1178
2026-04,Isuzu,MU-X,,1359
2026-05,Isuzu,MU-X,,760
2026-06,Isuzu,MU-X,,952
2026-07,Isuzu,MU-X,3.0 Ultimate 4x4,1117
2026-08,Isuzu,MU-X,,549
2026-09,Isuzu,MU-X,,568
2026-10,Isuzu,MU-X,3.0 Ultimate 4x4,874
2026-11,Isuzu,MU-X,,1153
2026-12,Isuzu,MU-X,1.9 Active,1221
2026-01,Kia,EV6,,162
2026-02,Kia,EV6,,246
2026-03,Kia,EV6,,257
2026-04,Kia,EV6,,201
2026-05,Kia,EV6,,179
2026-06,Kia,EV6,GT-Line,393
2026-07,Kia,EV6,GT-Line,406
2026-08,Kia,EV6,,262
2026-09,Kia,EV6,GT-Line,320
2026-10,Kia,EV6,,318
2026-11,Kia,EV6,,385
2026-12,Kia,EV6,,395
2026-01,Kia,EV9,GT-Line AWD,26
2026-02,Kia,EV9,GT-Line AWD,28
2026-03,Kia,EV9,,11
2026-04,Kia,EV9,GT-Line AWD,30
2026-05,Kia,EV9,GT-Line AWD,18
2026-06,Kia,EV9,,31
2026-07,Kia,EV9,,44
2026-08,Kia,EV9,GT-Line AWD,35
2026-09,Kia,EV9,,25
2026-10,Kia,EV9,GT-Line AWD,28
2026-11,Kia,EV9,,20
2026-12,Kia,EV9,,32
2026-01,Lexus,ES,ES300h Grand Luxury,39
2026-02,Lexus,ES,,29
2026-03,Lexus,ES,,38
2026-04,Lexus,ES,,20
2026-05,Lexus,ES,,37
2026-06,Lexus,ES,,27
2026-07,Lexus,ES,,32
2026-08,Lexus,ES,,45
2026-09,Lexus,ES,,31
2026-10,Lexus,ES,ES300h Grand Luxury,46
2026-11,Lexus,ES,,36
2026-12,Lexus,ES,,54
2026-01,Lexus,NX,NX350h Premium,66
2026-02,Lexus,NX,,135
2026-03,Lexus,NX,NX350h Premium,143
2026-04,Lexus,NX,,117
2026-05,Lexus,NX,NX350h Premium,165
2026-06,Lexus,NX,,120
2026-07,Lexus,NX,,106
2026-08,Lexus,NX,,141
2026-09,Lexus,NX,,189
2026-10,Lexus,NX,,139
2026-11,Lexus,NX,NX350h Premium,108
2026-12,Lexus,NX,NX350h Premium,125
2026-01,Lexus,RX,RX350h Premium,18
2026-02,Lexus,RX,,27
2026-03,Lexus,RX,,41
2026-04,Lexus,RX,RX350h Premium,25
2026-05,Lexus,RX,,35
2026-06,Lexus,RX,RX350h Premium,52
2026-07,Lexus,RX,,37
2026-08,Lexus,RX,,41
2026-09,Lexus,RX,,36
2026-10,Lexus,RX,,29
2026-11,Lexus,RX,,29
2026-12,Lexus,RX,RX350h Premium,36
2026-01,Lexus,LM,,50
2026-02,Lexus,LM,,24
2026-03,Lexus,LM,LM350h Executive,36
2026-04,Lexus,LM,,28
2026-05,Lexus,LM,LM350h Executive,36
2026-06,Lexus,LM,,20
2026-07,Lexus,LM,LM350h Executive,35
2026-08,Lexus,LM,,16
2026-09,Lexus,LM,,47
2026-10,Lexus,LM,,39
2026-11,Lexus,LM,LM350h Executive,23
2026-12,Lexus,LM,,27
2026-01,Mazda,Mazda2 Sedan,,604
2026-02,Mazda,Mazda2 Sedan,,484
2026-03,Mazda,Mazda2 Sedan,,736
2026-04,Mazda,Mazda2 Sedan,,564
2026-05,Mazda,Mazda2 Sedan,1.3 S,563
2026-06,Mazda,Mazda2 Sedan,1.3 SP,593
2026-07,Mazda,Mazda2 Sedan,,630
2026-08,Mazda,Mazda2 Sedan,,699
2026-09,Mazda,Mazda2 Sedan,,984
2026-10,Mazda,Mazda2 Sedan,,1007
2026-11,Mazda,Mazda2 Sedan,,635
2026-12,Mazda,Mazda2 Sedan,1.3 S,900
2026-01,Mazda,Mazda2 Hatchback,1.3 SP,276
2026-02,Mazda,Mazda2 Hatchback,,746
2026-03,Mazda,Mazda2 Hatchback,1.3 SP,410
2026-04,Mazda,Mazda2 Hatchback,,498
2026-05,Mazda,Mazda2 Hatchback,,626
2026-06,Mazda,Mazda2 Hatchback,,831
2026-07,Mazda,Mazda2 Hatchback,1.3 SP,800
2026-08,Mazda,Mazda2 Hatchback,,379
2026-09,Mazda,Mazda2 Hatchback,,533
2026-10,Mazda,Mazda2 Hatchback,,826
2026-11,Mazda,Mazda2 Hatchback,,767
2026-12,Mazda,Mazda2 Hatchback,1.3 SP,748
2026-01,Mazda,Mazda3,,443
2026-02,Mazda,Mazda3,2.0 SP,499
2026-03,Mazda,Mazda3,,473
2026-04,Mazda,Mazda3,,296
2026-05,Mazda,Mazda3,,371
2026-06,Mazda,Mazda3,,413
2026-07,Mazda,Mazda3,,532
2026-08,Mazda,Mazda3,,464
2026-09,Mazda,Mazda3,,648
